data_id,indicator,survey_id,is_preferred,value,sdrid,precision,region_id,survey_year_label,survey_type,survey_year,indicator_order,dhs_country_code,ci_low,country_name,indicator_type,characteristic_id,characteristic_category,indicator_id,characteristic_order,characteristic_label,by_variable_label,denominator_unweighted,denominator_weighted,ci_high,is_total,by_variable_id,.
3204632,Children stunted,KE2014DHS,1,17.2,CNNUTSCHA2,1,KEDHS2014416001,2014,DHS,2014,104236020,KE,NA,Kenya,I,416001,Region,CN_NUTS_C_HA2,1416010,Nairobi,NA,449,1643,NA,0,0,NA
842749,Children stunted,KE2014DHS,1,21.1,CNNUTSCHA2,1,KEDHS2014416011,2014,DHS,2014,104236020,KE,NA,Kenya,I,416011,Region,CN_NUTS_C_HA2,1416011,..Mombasa,NA,286,456,NA,0,0,NA
2865871,Children stunted,KE2014DHS,1,29.7,CNNUTSCHA2,1,KEDHS2014416012,2014,DHS,2014,104236020,KE,NA,Kenya,I,416012,Region,CN_NUTS_C_HA2,1416012,..Kwale,NA,442,401,NA,0,0,NA
3208089,Children stunted,KE2014DHS,1,39.1,CNNUTSCHA2,1,KEDHS2014416013,2014,DHS,2014,104236020,KE,NA,Kenya,I,416013,Region,CN_NUTS_C_HA2,1416013,..Kilifi,NA,558,737,NA,0,0,NA
2398084,Children stunted,KE2014DHS,1,28.1,CNNUTSCHA2,1,KEDHS2014416014,2014,DHS,2014,104236020,KE,NA,Kenya,I,416014,Region,CN_NUTS_C_HA2,1416014,..Tana River,NA,615,164,NA,0,0,NA
3206151,Children stunted,KE2014DHS,1,29.2,CNNUTSCHA2,1,KEDHS2014416015,2014,DHS,2014,104236020,KE,NA,Kenya,I,416015,Region,CN_NUTS_C_HA2,1416015,..Lamu,NA,346,53,NA,0,0,NA
3208115,Children stunted,KE2014DHS,1,23.8,CNNUTSCHA2,1,KEDHS2014416016,2014,DHS,2014,104236020,KE,NA,Kenya,I,416016,Region,CN_NUTS_C_HA2,1416016,..Taita Taveta,NA,292,115,NA,0,0,NA
2617966,Children stunted,KE2014DHS,1,18.4,CNNUTSCHA2,1,KEDHS2014416002,2014,DHS,2014,104236020,KE,NA,Kenya,I,416002,Region,CN_NUTS_C_HA2,1416020,Central,NA,1401,1694,NA,0,0,NA
2617981,Children stunted,KE2014DHS,1,15.6,CNNUTSCHA2,1,KEDHS2014416021,2014,DHS,2014,104236020,KE,NA,Kenya,I,416021,Region,CN_NUTS_C_HA2,1416021,..Garissa,NA,530,228,NA,0,0,NA
2178684,Children stunted,KE2014DHS,1,26.4,CNNUTSCHA2,1,KEDHS2014416022,2014,DHS,2014,104236020,KE,NA,Kenya,I,416022,Region,CN_NUTS_C_HA2,1416022,..Wajir,NA,529,228,NA,0,0,NA
3204679,Children stunted,KE2014DHS,1,36.1,CNNUTSCHA2,1,KEDHS2014416023,2014,DHS,2014,104236020,KE,NA,Kenya,I,416023,Region,CN_NUTS_C_HA2,1416023,..Mandera,NA,426,148,NA,0,0,NA
1294062,Children stunted,KE2014DHS,1,30.8,CNNUTSCHA2,1,KEDHS2014416003,2014,DHS,2014,104236020,KE,NA,Kenya,I,416003,Region,CN_NUTS_C_HA2,1416030,Coast,NA,2539,1926,NA,0,0,NA
2865887,Children stunted,KE2014DHS,1,26.5,CNNUTSCHA2,1,KEDHS2014416031,2014,DHS,2014,104236020,KE,NA,Kenya,I,416031,Region,CN_NUTS_C_HA2,1416031,..Marsabit,NA,437,90,NA,0,0,NA
3208118,Children stunted,KE2014DHS,1,19.1,CNNUTSCHA2,1,KEDHS2014416032,2014,DHS,2014,104236020,KE,NA,Kenya,I,416032,Region,CN_NUTS_C_HA2,1416032,..Isiolo,NA,505,80,NA,0,0,NA
2398090,Children stunted,KE2014DHS,1,25.2,CNNUTSCHA2,1,KEDHS2014416033,2014,DHS,2014,104236020,KE,NA,Kenya,I,416033,Region,CN_NUTS_C_HA2,1416033,..Meru,NA,319,529,NA,0,0,NA
3202720,Children stunted,KE2014DHS,1,32.9,CNNUTSCHA2,1,KEDHS2014416034,2014,DHS,2014,104236020,KE,NA,Kenya,I,416034,Region,CN_NUTS_C_HA2,1416034,..Tharaka-Nithi,NA,269,151,NA,0,0,NA
